,id,sentence,num_flips,flip_rate
1187,34.3.heycock.82a.*.04,The dinosaur with terrible teeth's roar was monstrous.,2,0.2
1189,34.3.heycock.82a.*.06,The bird that awakens before sunrise's noise is annoying.,10,1.0
1190,34.3.heycock.82a.*.07,The movie theater with the fantastic sound system's lobby was empty.,2,0.2
1196,34.3.heycock.82a.g.05,The food of the restaurant that does n't train its staff is dangerous.,6,0.6
1200,34.3.landau.32c.*.01,There expects to be a man in the garden.,8,0.8
1202,34.3.landau.32c.*.03,There desires to be a new deal in the works.,2,0.2
1203,34.3.landau.32c.*.04,There forgot to be a car waiting at the airport.,6,0.6
1204,34.3.landau.32c.*.05,There hoped to be a party for the new manager.,12,1.2
1206,34.3.landau.32c.*.07,There managed to be a bonus in my paycheck.,8,0.8
1207,34.3.landau.32c.*.08,There remembered to be a construction sign on the freeway.,6,0.6
1216,34.3.landau.39a.g.01,One interpreter tried to be assigned to every visiting diplomat.,2,0.2
1223,34.3.landau.39a.g.08,One athlete tried to win event.,2,0.2
1224,34.3.landau.39b.*.01,One interpreter each tried to be assigned to every visiting diplomat.,2,0.2
1225,34.3.landau.39b.*.02,One actor each attempted to be the star of every scene.,2,0.2
1226,34.3.landau.39b.*.03,One protester each managed to be heard during every speech.,6,0.6
1227,34.3.landau.39b.*.04,One child each refused to complete every assignment.,4,0.4
1228,34.3.landau.39b.*.05,One soldier each refused to obey every order.,8,0.8
1229,34.3.landau.39b.*.06,One mechanic each managed to repair every car.,6,0.6
1230,34.3.landau.39b.*.07,One dog each attempted to fetch every stick.,2,0.2
1233,34.3.takano.10b.*.02,Prof. Jones met with any students only rarely.,12,1.2
1234,34.3.takano.10b.*.03,The store sold any hardbacks only occasionally.,8,0.8
1235,34.3.takano.10b.*.04,Fritz wrote any stories only rarely.,6,0.6
1236,34.3.takano.10b.*.05,The postman delivers any letters only occasionally.,4,0.4
1237,34.3.takano.10b.*.06,The virtuoso practices any pieces only rarely.,12,1.2
1238,34.3.takano.10b.*.07,Thin people eat any snacks only occasionally.,6,0.6
1239,34.3.takano.10b.*.08,Most people clean any windows only rarely.,4,0.4
1240,34.3.takano.10b.g.01,I only occasionally bought any books.,6,0.6
1249,34.3.takano.9e.*.02,Anywhere has nobody gone.,4,0.4
1264,34.4.boskovic.3a.*.01,It seemed at that time David had left.,4,0.4
1272,34.4.boskovic.3b.*.01,What the students believe is they will pass the exam.,2,0.2
1276,34.4.boskovic.3b.*.05,What the detectives believe is they will solve the case.,2,0.2
1277,34.4.boskovic.3b.*.06,What they children believe is they will get some candy.,2,0.2
1279,34.4.boskovic.3b.*.08,What the police believe is they will catch the thief.,2,0.2
1280,34.4.boskovic.3c.*.01,They suspected and we believed Peter would visit the hospital.,4,0.4
1281,34.4.boskovic.3c.*.02,They believed and we thought Jamie would finish the assignment.,8,0.8
1282,34.4.boskovic.3c.*.03,They thought and we expected Charles would read his speech.,6,0.6
1283,34.4.boskovic.3c.*.04,They expected and we knew Courtney would ride the elephant.,10,1.0
1284,34.4.boskovic.3c.*.05,They knew and we saw Mark would skip work.,6,0.6
1285,34.4.boskovic.3c.*.06,They saw and we confirmed Andrea would present her artwork.,4,0.4
1287,34.4.boskovic.3c.*.08,They affirmed but we denied Mary would tell the truth.,10,1.0
1289,34.4.boskovic.3d.*.02,Laurie believed Eric won the gold medal and Sally Eric won the silver medal.,8,0.8
1290,34.4.boskovic.3d.*.03,Ernie believed Jackie passed the test and Louie Jackie got an A.,6,0.6
1291,34.4.boskovic.3d.*.04,Donald believed Joe finished his homework and Dewey Joe took a nap.,4,0.4
1292,34.4.boskovic.3d.*.05,Sarah believed Daniel grew a few inches and Richard Daniel gained some weight.,12,1.2
1293,34.4.boskovic.3d.*.06,Raymond believed Amy practiced her music and Danielle Amy won a competition.,10,1.0
1298,34.4.boskovic.3e.*.03,"Mike pushed the little girl, Bianca didn't believe.",2,0.2
1317,34.4.boskovic.4b.g.06,What they children believe is that they will get some candy.,2,0.2
1320,34.4.boskovic.4c.g.01,They suspected and we believed Peter would visit the hospital.,4,0.4
1321,34.4.boskovic.4c.g.02,They believed and we thought that Jamie would finish the assignment.,8,0.8
1322,34.4.boskovic.4c.g.03,They thought and we expected that Charles would read his speech.,6,0.6
1323,34.4.boskovic.4c.g.04,They expected and we knew that Courtney would ride the elephant.,8,0.8
1324,34.4.boskovic.4c.g.05,They knew and we saw that Mark would skip work.,2,0.2
1325,34.4.boskovic.4c.g.06,They saw and we confirmed that Andrea would present her artwork.,4,0.4
1326,34.4.boskovic.4c.g.07,They denied and we suspected that Sean would buy the car.,2,0.2
1327,34.4.boskovic.4c.g.08,They affirmed but we denied that Mary would tell the truth.,4,0.4
1328,34.4.boskovic.4d.g.01,Mary believed that Peter finished school and Bill that Peter got a job.,10,1.0
1331,34.4.boskovic.4d.g.04,Donald believed that Joe finished his homework and that Dewey Joe took a nap.,8,0.8
1332,34.4.boskovic.4d.g.05,Sarah believed that Daniel grew a few inches and Richard that Daniel gained some weight.,4,0.4
1333,34.4.boskovic.4d.g.06,Raymond believed that Amy practiced her music and Danielle that Amy won a competition.,8,0.8
1334,34.4.boskovic.4d.g.07,Matt believed that Ben read a book and Lilly that Ben watched a movie.,4,0.4
1335,34.4.boskovic.4d.g.08,Mary believed that Tommy drank his milk and Brandon that Tommy ate the vegetables.,8,0.8
1344,34.4.boskovic.7a.??.01,What did they believe at that time that Peter fixed?,4,0.4
1370,34.4.haegeman.2a.g.03,This is the women who I think will replace the manager.,2,0.2
1376,34.4.lasnik.10a.*.01,"Angela wondered how John managed to cook, but it's not clear what food.",10,1.0
1378,34.4.lasnik.10a.*.03,"Eric wondered how Lisa learned to dance, but it's not clear what dance.",8,0.8
1379,34.4.lasnik.10a.*.04,"Matt wondered why Kelly hoped to win, but it's not clear what contest.",8,0.8
1380,34.4.lasnik.10a.*.05,"Sharon wondered why Amy hoped to read, but it's not clear what book.",4,0.4
1381,34.4.lasnik.10a.*.06,"Terry wondered how Cindy learned to swim, but it's not clear what stroke.",6,0.6
1382,34.4.lasnik.10a.*.07,"Mike wondered why Leslie tried to visit, but it's not clear what city.",2,0.2
1392,35.1.beck.12b.*.01,Who did you believe a friend of satisfied?,4,0.4
1394,35.1.beck.12b.*.03,Who does he consider a picture of precious?,2,0.2
1395,35.1.beck.12b.*.04,Who do they consider a teacher of geeky?,4,0.4
1396,35.1.beck.12b.*.05,Who does Dr. Parker consider a criticism of unjustified?,2,0.2
1398,35.1.beck.12b.*.07,Who do our leaders consider an associate of untrustworthy?,10,1.0
1399,35.1.beck.12b.*.08,Who does my brother want a picture of displayed?,12,1.2
1400,35.1.beck.12b.g.01,I believed a friend of Andy satisfied.,4,0.4
1403,35.1.beck.12b.g.04,They consider a teacher of Chris geeky.,6,0.6
1417,35.1.bhatt.14cf.g.02,Cassie is more talented than intelligent.,4,0.4
1420,35.1.bhatt.14cf.g.05,Kayla is more grateful than insulted.,2,0.2
1424,35.1.bhatt.76b.*.01,I told you that Bill when we met will come to the party.,8,0.8
1425,35.1.bhatt.76b.*.02,I told you that Chris when we met will travel to France in December.,12,1.2
1426,35.1.bhatt.76b.*.03,I told you that Sarah when we met will attend college in the fall.,8,0.8
1427,35.1.bhatt.76b.*.04,I told you that Markus when we met will be moving in June.,10,1.0
1448,35.1.bhatt.94b.g.01,I expect that everyone will visit Mary that you do.,6,0.6
1449,35.1.bhatt.94b.g.02,I anticipate that everyone will see John that you do.,4,0.4
1450,35.1.bhatt.94b.g.03,We expect that everybody will hug Kimberly that you do.,10,1.0
1451,35.1.bhatt.94b.g.04,I expect that everyone will praise Ricky that you do.,4,0.4
1453,35.1.bhatt.94b.g.06,They anticipate that everybody will contact Fred that you do.,2,0.2
1455,35.1.bhatt.94b.g.08,I anticipate that everybody will watch Melissa that you do.,6,0.6
1458,35.1.mcginnis.32b.*.03,Fred mowed Jamie the lawn.,6,0.6
1462,35.1.mcginnis.32b.*.07,Sarah washed her husband the dishes.,2,0.2
1483,35.1.mcginnis.63b.*.04,The news story worried Sally about the environment.,4,0.4
1496,35.2.hazout.6b.*.01,I find it irritating for usually this street to be closed.,6,0.6
1498,35.2.hazout.6b.*.03,I find it upsetting for usually this theater to be sold out.,6,0.6
1499,35.2.hazout.6b.*.04,I find it gratifying for usually our team to be ranked first.,8,0.8
1500,35.2.hazout.6b.*.05,I find it disturbing for usually those children to be hungry.,8,0.8
1501,35.2.hazout.6b.*.06,I find it frustrating for usually this store to be overpriced.,4,0.4
1502,35.2.hazout.6b.*.07,I find it disheartening for usually politicians to be liars.,4,0.4
1503,35.2.hazout.6b.*.08,I find it shocking for usually students to be cheaters.,6,0.6
1520,35.2.larson.44c.??.01,Max talked to as tall a man as his father.,6,0.6
1521,35.2.larson.44c.??.02,Tom argued with as stubborn a man as his brother.,4,0.4
1522,35.2.larson.44c.??.03,Robert yelled at as obnoxious a boy as his cousin.,6,0.6
1523,35.2.larson.44c.??.04,Charlie spoke to as joyful a woman as his mother.,8,0.8
1524,35.2.larson.44c.??.05,James whispered to as deaf a man as his grandfather.,10,1.0
1525,35.2.larson.44c.??.06,Anna read to as young a girl as her sister.,8,0.8
1538,35.3.embick.13b.*.03,Bill drank the glass emptied.,2,0.2
1539,35.3.embick.13b.*.04,The heat turned the meat rotted.,10,1.0
1568,35.3.hazout.67a.g.01,There is likely to appear a man.,2,0.2
1569,35.3.hazout.67a.g.02,There is likely to arrive a letter.,12,1.2
1570,35.3.hazout.67a.g.03,There is likely to spread a disease around the world.,10,1.0
1571,35.3.hazout.67a.g.04,There is likely to depart a train at midnight.,12,1.2
1572,35.3.hazout.67a.g.05,There is likely to sit a table in the corner.,12,1.2
1573,35.3.hazout.67a.g.06,There is likely to live a snake in the garden.,10,1.0
1574,35.3.hazout.67a.g.07,There is likely to stand a bookshelf against the wall.,14,1.4
1575,35.3.hazout.67a.g.08,There is likely to run a river down the mountain.,10,1.0
1576,35.3.hazout.67c.*.01,There is likely a man to appear.,4,0.4
1577,35.3.hazout.67c.*.02,There is likely a letter to arrive.,8,0.8
1578,35.3.hazout.67c.*.03,There is likely a disease to spread around the world.,4,0.4
1580,35.3.hazout.67c.*.05,There is likely a table to sit in the corner.,2,0.2
1581,35.3.hazout.67c.*.06,There is likely a snake to live in the garden.,2,0.2
1583,35.3.hazout.67c.*.08,There is likely a river to run down the mountain.,8,0.8
1584,35.3.hazout.75.*.01,It is unimaginable Mary to arrive on time.,2,0.2
1585,35.3.hazout.75.*.02,It is unthinkable David to work hard.,8,0.8
1587,35.3.hazout.75.*.04,It is commendable Nicholas to stay at work late.,8,0.8
1589,35.3.hazout.75.*.06,It is unthinkable Lauren to speak loudly.,10,1.0
1590,35.3.hazout.75.*.07,It is commendable Emily to enter quietly.,10,1.0
1591,35.3.hazout.75.*.08,It is unimaginable Rachel to cry often.,6,0.6
1614,35.3.richards.17b.*.07,To whom did you address what?,4,0.4
1617,35.3.sobin.3c.*.02,Some papers and a pen is in the drawer.,10,1.0
1622,35.3.sobin.3c.*.07,Some magazines and a book is in the storage box.,2,0.2
1623,35.3.sobin.3c.*.08,Some sweaters and a shirt is in the suitcase.,8,0.8
1632,36.4.denDikken.45.*.01,"That much the less you say, the smarter you will seem.",2,0.2
1633,36.4.denDikken.45.*.02,"That much the more you save, the better off you will be.",2,0.2
1634,36.4.denDikken.45.*.03,"That much the less you know, the easier it will be to lie.",10,1.0
1635,36.4.denDikken.45.*.04,"That much the more you give, the happier you will be.",4,0.4
1636,36.4.denDikken.45.*.05,"That much the less you complain, the nicer this trip will be.",10,1.0
1637,36.4.denDikken.45.*.06,"That much the more you talk, the less you listen.",2,0.2
1638,36.4.denDikken.45.*.07,"That much the less you scratch it, the faster it will heal.",8,0.8
1639,36.4.denDikken.45.*.08,"That much the more you learn, the more you realize you don't know everything.",8,0.8
1650,37.1.boeckx.5.*.03,Jack figured out what who stole.,2,0.2
1651,37.1.boeckx.5.*.04,Dale asked what who said.,4,0.4
1652,37.1.boeckx.5.*.05,Heather wondered what who ate.,2,0.2
1655,37.1.boeckx.5.*.08,Melissa wondered what who hid.,2,0.2
1664,37.2.deVries.39a.*.01,I talked to with whom you danced yesterday.,4,0.4
1668,37.2.deVries.39a.*.05,She visited for whom she baked the cake.,2,0.2
1669,37.2.deVries.39a.*.06,He met about whom he wrote several stories.,2,0.2
1679,37.2.deVries.39b.g.08,"They nominated Lillian, through whom we contacted them.",4,0.4
1691,37.2.Sigurdsson.3d.*.04,Us would have been selected.,6,0.6
1692,37.2.Sigurdsson.3d.*.05,Them would have been promoted.,2,0.2
1705,37.3.becker.26b.*.02,I tend drinking milkshakes.,4,0.4
1706,37.3.becker.26b.*.03,I appear lifting weights.,10,1.0
1708,37.3.becker.26b.*.05,I turned out running marathons.,4,0.4
1711,37.3.becker.26b.*.08,I seem missing work.,2,0.2
1720,37.3.becker.2b.*.01,There like to be storms at this time of year.,2,0.2
1722,37.3.becker.2b.*.03,There hope to be new ideas in the report.,10,1.0
1723,37.3.becker.2b.*.04,There is eager to be a problem with this plan.,10,1.0
1724,37.3.becker.2b.*.05,There expect to be tools in the trunk.,4,0.4
1725,37.3.becker.2b.*.06,There are happy to be insects inside the wood.,10,1.0
1727,37.3.becker.2b.*.08,There is anxious to be cream in this sauce.,4,0.4
1738,37.3.becker.5b.*.03,You seem dancing a tango.,6,0.6
1740,37.3.becker.5b.*.05,He was unlikely getting a scholarship.,10,1.0
1745,37.4.nakajima.20e.*.02,The coup d'etat occurred a sudden occurrence in the Middle East.,8,0.8
1749,37.4.nakajima.20e.*.06,My flight arrived a late arrival.,6,0.6
1752,37.4.nakajima.4a.g.01,The tree grew a century's growth within only ten years.,10,1.0
1755,37.4.nakajima.4a.g.04,"The apples fell just a short fall to the lower deck, and so were not too badly bruised.",10,1.0
1779,38.2.hornstein.4b.g.04,In which field played two teams?,10,1.0
1784,38.2.hornstein.4c.*.01,Into which room did walk three men?,10,1.0
1785,38.2.hornstein.4c.*.02,Down which street did drive two cars?,8,0.8
1786,38.2.hornstein.4c.*.03,Up which hill did run four horses?,10,1.0
1787,38.2.hornstein.4c.*.04,In which field did play two teams?,2,0.2
1788,38.2.hornstein.4c.*.05,Along which beach did stroll four couples?,10,1.0
1789,38.2.hornstein.4c.*.06,Around which track did race three drivers?,10,1.0
1790,38.2.hornstein.4c.*.07,Over which bridge did drive six trucks?,6,0.6
1791,38.2.hornstein.4c.*.08,Through which tunnel did race five sports cars?,12,1.2
1805,38.2.hornstein.4e.*.06,Around which corner ran the survivors?,2,0.2
1833,38.3.hirose.1b.*.02,On her parents for money Melanie relied.,4,0.4
1834,38.3.hirose.1b.*.03,To the neighbors about the noise the old man complained.,8,0.8
1838,38.3.hirose.1b.*.07,With the generals about a new approach the President talked.,6,0.6
1839,38.3.hirose.1b.*.08,At your spouse on the phone you should n't yell.,4,0.4
1848,38.3.hirose.4a.*.01,It will take from three five days for him to recover.,4,0.4
1849,38.3.hirose.4a.*.02,It will take from two four hours for the plumber to fix the leak.,8,0.8
1850,38.3.hirose.4a.*.03,It will take from six eight weeks for your furniture to be delivered.,8,0.8
1851,38.3.hirose.4a.*.04,It will take from eight ten minutes for the material to harden.,10,1.0
1852,38.3.hirose.4a.*.05,It will take from two three months for the medication to work.,10,1.0
1853,38.3.hirose.4a.*.06,It will take from 20 25 years for this roof to leak again.,8,0.8
1854,38.3.hirose.4a.*.07,It will take from three four hours for most girls to get ready for the prom.,4,0.4
1855,38.3.hirose.4a.*.08,It will take from five seven days for your cat to feel better.,8,0.8
1864,38.3.landau.31b.*.01,"An hour, they slept, and then went to work.",6,0.6
1866,38.3.landau.31b.*.03,"An hour, the twins jogged, and then swam a mile.",2,0.2
1868,38.3.landau.31b.*.05,"A minute, he lingered, and then joined the celebration.",8,0.8
1872,38.3.landau.38a.g.01,George kicked the boy the ball.,12,1.2
1876,38.3.landau.38a.g.05,Larry cooked her husband the meal.,10,1.0
1879,38.3.landau.38a.g.08,They brought Mr. Sheldrake the contract.,2,0.2
1880,38.3.landau.39a.*.01,Who did George kick the ball?,12,1.2
1881,38.3.landau.39a.*.02,Who did Fred bake coconut cookies?,10,1.0
1882,38.3.landau.39a.*.03,Who will you give the keys?,8,0.8
1883,38.3.landau.39a.*.04,Who should I send the letter?,6,0.6
1884,38.3.landau.39a.*.05,Who did Larry cook the meal?,12,1.2
1886,38.3.landau.39a.*.07,Who did you buy the teddy bear?,10,1.0
1900,38.4.Boskovic.4.*.05,There seems a gun to be under his jacket.,2,0.2
1913,38.4.kallulli.10b.*.02,The chamber flooded intentionally.,2,0.2
1914,38.4.kallulli.10b.*.03,The reward doubled deliberately.,2,0.2
1924,38.4.kallulli.4b.*.05,Dale was suspended from the principal.,10,1.0
1925,38.4.kallulli.4b.*.06,Linda was hired from Theresa.,4,0.4
1926,38.4.kallulli.4b.*.07,Marcie was fired from her manager.,4,0.4
1936,38.4.kallulli.9a.g.01,The boat was sunk to collect the insurance.,2,0.2
1938,38.4.kallulli.9a.g.03,The reward was doubled to help catch the thief.,2,0.2
1940,38.4.kallulli.9a.g.05,The pool was emptied to find the ring.,10,1.0
1944,38.4.kallulli.9b.*.01,The boat sank to collect the insurance.,2,0.2
1949,38.4.kallulli.9b.*.06,The balloon burst to punish the child.,6,0.6
1951,38.4.kallulli.9b.*.08,The specimen thawed to study it more closely.,8,0.8
1973,40.1.caponigro.23a.*.06,Mark went roller-skating his new girlfriend.,12,1.2
1975,40.1.caponigro.23a.*.08,Brittany bought the car her cousin.,2,0.2
1977,40.1.caponigro.23cf.g.02,Lisa arrived after the professor.,6,0.6
1983,40.1.caponigro.23cf.g.08,Brittany bought the car with her cousin.,2,0.2
1984,40.1.caponigro.25b.*.01,Lily will dance who the king chooses.,10,1.0
1985,40.1.caponigro.25b.*.02,Fred works what Jack despises.,10,1.0
1986,40.1.caponigro.25b.*.03,Leonard talks what Sally likes.,8,0.8
1987,40.1.caponigro.25b.*.04,Tanya will laugh who Lisa chooses.,8,0.8
1990,40.1.caponigro.25b.*.07,Sophie dances who she likes.,10,1.0
2000,40.1.heck.5b.*.01,Sherry met a man very fond of whom she found herself.,4,0.4
2002,40.1.heck.5b.*.03,Carrie fired an assistant dependent on who she later found herself.,8,0.8
2004,40.1.heck.5b.*.05,Helen listened to the advice of a doctor usually skeptical of who she finds herself.,4,0.4
2007,40.1.heck.5b.*.08,Rebecca married a man true to who she intends to stay.,10,1.0
2024,40.1.stepanov.4b.*.01,What did who buy?,10,1.0
2025,40.1.stepanov.4b.*.02,What did who say?,6,0.6
2026,40.1.stepanov.4b.*.03,What did who eat?,10,1.0
2027,40.1.stepanov.4b.*.04,What did who steal?,8,0.8
2028,40.1.stepanov.4b.*.05,What did who bring?,4,0.4
2029,40.1.stepanov.4b.*.06,What did who read?,6,0.6
2030,40.1.stepanov.4b.*.07,What did who sell?,8,0.8
2031,40.1.stepanov.4b.*.08,What did who wear?,4,0.4
2033,40.2.johnson.59b.*.02,She baked him for his birthday a cake.,8,0.8
2035,40.2.johnson.59b.*.04,He envied me after the promotion my success.,4,0.4
2036,40.2.johnson.59b.*.05,He waved them at the end of the night goodbye.,6,0.6
2039,40.2.johnson.59b.*.08,She denied him after the deal fell through the promotion.,2,0.2
2040,40.2.johnson.59b.g.01,Ice cream gives me brain-freeze in the morning.,2,0.2
2049,40.4.hicks.22.g.02,My dog is tough to groom without frightening.,2,0.2
2051,40.4.hicks.22.g.04,That movie impossible to watch without enjoying.,2,0.2
2053,40.4.hicks.22.g.06,Maggie is difficult to compliment without embarrassing.,4,0.4
2057,40.4.hicks.23.*.02,My dog appears to have been groomed without anyone frightening.,2,0.2
2059,40.4.hicks.23.*.04,That movie seems to be watched without anyone enjoying.,2,0.2
2060,40.4.hicks.23.*.05,This sculpture seems to have been shipped without anyone breaking.,10,1.0
2061,40.4.hicks.23.*.06,Maggie is unlikely to be complimented without anyone embarrassing.,8,0.8
2063,40.4.hicks.23.*.08,My favorite cookies are certain to be baked without anyone burning.,2,0.2
2064,41.1.Muller.14c.*.01,Who did that Mary was going out with bother you?,4,0.4
2068,41.1.Muller.14c.*.05,What was that the construction workers might uncover known by the bank robber?,2,0.2
2097,41.2.Bruening.31a.*.02,In that room is given anyone who stays long enough horrible headaches.,2,0.2
2099,41.2.Bruening.31a.*.04,With that Supreme Court decision were denied minorities some of their rights.,6,0.6
2103,41.2.Bruening.31a.*.08,At that point were given the counters that had just been used a quick wipe.,6,0.6
2124,41.2.Bruening.33a.g.05,The actor in the blockbuster movie was envied his success at the Oscars.,2,0.2
2125,41.2.Bruening.33a.g.06,The departing guests were waved goodbye after the dinner party.,2,0.2
2136,41.2.Bruening.36b.*.01,The man that he gave the creeps last night to is over there.,4,0.4
2138,41.2.Bruening.36b.*.03,The people that the construction noise gave a headache this morning to are furious.,2,0.2
2140,41.2.Bruening.36b.*.05,The child that the clown gave the creeps at the party to is still upset.,4,0.4
2141,41.2.Bruening.36b.*.06,The apprentice that Donald gave hell on last night's program to is very worried.,4,0.4
2152,41.2.Bruening.3b.*.01,The count gives the creeps to me.,2,0.2
2153,41.2.Bruening.3b.*.02,The lighting here gives a headache to me.,6,0.6
2154,41.2.Bruening.3b.*.03,The teacher denied his extra credit to George.,8,0.8
2157,41.2.Bruening.3b.*.06,The IRS denied her refund to Lilly.,6,0.6
2158,41.2.Bruening.3b.*.07,The doctor envied her success to the nurse.,2,0.2
2177,41.3.Landau.10a.g.02,The club was entered wearing no shirt.,2,0.2
2178,41.3.Landau.10a.g.03,The bed was slept in wearing no clothes.,8,0.8
2179,41.3.Landau.10a.g.04,The summit was reached sweating profusely.,8,0.8
2181,41.3.Landau.10a.g.06,The papers were graded while being bored.,4,0.4
2182,41.3.Landau.10a.g.07,The car was driven while being tired.,6,0.6
2185,41.3.Landau.10b.*.02,The club was entered shirtless.,4,0.4
2192,41.3.Landau.24c.g.01,I told Mr. Smith that I wonder when to paint the fence together.,6,0.6
2195,41.3.Landau.24c.g.04,I informed Stan that I wanted to wash the car together.,4,0.4
2197,41.3.Landau.24c.g.06,We were sure that the teaching assistant. liked to meet before lecture.,4,0.4
2200,41.3.Landau.25c.*.01,I told Mr. Smith that I am able to paint the fence together.,4,0.4
2203,41.3.Landau.25c.*.04,I informed Stan that I must wash the car together.,8,0.8
2205,41.3.Landau.25c.*.06,We were sure that the teaching assistant. would fail to meet before lecture.,10,1.0
2208,41.3.Landau.27b.*.01,His wife kissed in front of the kids.,10,1.0
2209,41.3.Landau.27b.*.02,Her husband hugged in front of the guests.,6,0.6
2211,41.3.Landau.27b.*.04,The manager met before the store opened.,12,1.2
2212,41.3.Landau.27b.*.05,The teacher spoke together after class.,6,0.6
2213,41.3.Landau.27b.*.06,The gardener painted the fence together.,10,1.0
2218,41.3.Landau.27b.g.03,Her grandmother and grandfather embraced at the dinner.,10,1.0
2224,41.3.Landau.7b.*.01,I am now hiring for John to work with.,6,0.6
2226,41.3.Landau.7b.*.03,Jaden ordered for her sister to wear to the dance.,2,0.2
2227,41.3.Landau.7b.*.04,Shannon stole for her family to enjoy.,4,0.4
2228,41.3.Landau.7b.*.05,Mr. Parker rents for his mother to stay in.,4,0.4
2241,41.3.Rezac.3b1.g.02,There had prevailed in the trial all of the defendants we were rooting for.,6,0.6
2243,41.3.Rezac.3b1.g.04,There had lived across the street all of the kids who were vandalizing our yard.,10,1.0
2246,41.3.Rezac.3b1.g.07,There have accumulated in the basement all of the trophies Trevor has won playing sports.,2,0.2
2248,41.3.Rezac.3b2.*.01,There had all hung over the fireplace the portraits by Picasso.,8,0.8
2250,41.3.Rezac.3b2.*.03,There had all loomed over us the projects we had been putting off.,8,0.8
2251,41.3.Rezac.3b2.*.04,There had all lived across the street the kids who were vandalizing our yard.,2,0.2
2252,41.3.Rezac.3b2.*.05,There had all emerged from the darkness the raccoons Jamie had seen earlier.,10,1.0
2253,41.3.Rezac.3b2.*.06,There had all stood in the corner the grandfather clocks Maria had collected over the years.,10,1.0
2254,41.3.Rezac.3b2.*.07,There have all accumulated in the basement the trophies Trevor has won playing sports.,2,0.2
2257,41.3.Vicente.4a1.g.02,Mike prefers tennis and Jon baseball.,2,0.2
2267,41.3.Vicente.4a3.*.04,Dennis loves math because Steve science.,2,0.2
2268,41.3.Vicente.4a3.*.05,Carl collects stamps because Ryan coins.,6,0.6
2272,41.3.Vicente.4a6.*.01,Sandy plays the guitar better than Betsy the harmonica.,12,1.2
2273,41.3.Vicente.4a6.*.02,Arthur cooked the lasagna better than Adam the pasta.,2,0.2
2274,41.3.Vicente.4a6.*.03,Emma draws dogs better than Sophia dinosaurs.,2,0.2
2278,41.3.Vicente.4a6.*.07,Amanda hurled the water balloon more forcefully than Irene the baseball.,4,0.4
2279,41.3.Vicente.4a6.*.08,Kelsey speaks Japanese more fluently than Jason English.,4,0.4
2290,41.3.Vicente.5a.*.03,"The girls made sandwiches, and I believe that the boys hot dogs.",4,0.4
2295,41.3.Vicente.5a.*.08,"Ricardo likes soup, and he knows that Juan salad.",6,0.6
2304,41.3.Vicente.8a.*.01,"Read things, Mike did quickly.",4,0.4
2306,41.3.Vicente.8a.*.03,"Steal things, the thief did sneakily.",8,0.8
2307,41.3.Vicente.8a.*.04,"Clean the room, the child did reluctantly.",8,0.8
2310,41.3.Vicente.8a.*.07,"Frighten people, the clown did willingly.",4,0.4
2311,41.3.Vicente.8a.*.08,"Threaten students, the bully did triumphantly.",2,0.2
2324,41.3.Vicente.8d.*.05,"Forget to walk, Susan did the dog.",2,0.2
2337,41.4.Bruening.9b.*.02,Who do you consider supporters of beneath our notice?,2,0.2
2343,41.4.Bruening.9b.*.08,Who did officials proclaim an associate of the winner?,10,1.0
2346,41.4.Bruening.9c.g.03,Who did they send a parent of to an unpleasant meeting?,4,0.4
2347,41.4.Bruening.9c.g.04,Who did the executives appoint a friend of to the board?,10,1.0
2348,41.4.Bruening.9c.g.05,Who did the coach trade an enemy of to another team?,2,0.2
2349,41.4.Bruening.9c.g.06,Who did the principal assign children of to a different teacher?,10,1.0
2350,41.4.Bruening.9c.g.07,Who did the frat boys introduce a daughter of to their pledges?,2,0.2
2351,41.4.Bruening.9c.g.08,Who did officials dispatch an associate of to the embassy?,4,0.4
2352,41.4.Haegeman.18a.*.01,Bill asked if such books John only reads at home.,8,0.8
2353,41.4.Haegeman.18a.*.02,Chris knows whether this book Candice read.,2,0.2
2354,41.4.Haegeman.18a.*.03,Leslie wonders whether these clothes Harold will wash.,8,0.8
2359,41.4.Haegeman.18a.*.08,Sam inquired if the new Lexus he could test drive.,2,0.2
2361,41.4.Haegeman.18a.g.02,Chris knows that this book Candice read.,2,0.2
2362,41.4.Haegeman.18a.g.03,Leslie is certain that these clothes Harold will wash.,10,1.0
2363,41.4.Haegeman.18a.g.04,Judah confirmed that this jersey he can keep.,10,1.0
2366,41.4.Haegeman.18a.g.07,Jessie knows that the big solo Rachel will sing.,2,0.2
2367,41.4.Haegeman.18a.g.08,Sam discovered that the new Lexus he could test drive.,4,0.4
2375,41.4.Haegeman.22d.*.08,"If frankly you continue to argue, the boss will fire you.",6,0.6
2384,41.4.Haegeman.4a.*.01,"When this column she started to write last year, I thought she would be fine.",10,1.0
2385,41.4.Haegeman.4a.*.02,"When that play he started to perform this week, we believed he would be fine.",4,0.4
2387,41.4.Haegeman.4a.*.04,"When these books they started to arrange an hour ago, I thought they would tidy the rest of the room.",12,1.2
2388,41.4.Haegeman.4a.*.05,"When this exam we started to take this morning, it didn't look so long.",2,0.2
2413,ch10.107b.*.06,Who is an email from in your inbox?,6,0.6
2414,ch10.107b.*.07,Who is a picture of on the mantle?,4,0.4
2425,ch10.108b.g.02,Who is there a gift from on the table?,10,1.0
2429,ch10.108b.g.06,Who is there an email from in your inbox?,10,1.0
