dataset,notes,typo?,id,sentence,judgement
LI,,,34.1.phillips.59b.g.06,The directors were impressed by the dancers and singers.,1.129658
LI,,,34.1.phillips.59b.g.07,The smugglers were arrested by the police and the coastguard.,1.360582
LI,,,34.1.phillips.59b.g.08,The employees were overworked by the managers and the executives.,0.821815
LI,,,34.1.phillips.67c.g.01,I gave nothing to anybody.,-0.32493
LI,,,34.1.phillips.67c.g.02,Our professor gave no extensions to any students.,1.050221
LI,,,34.1.phillips.67c.g.03,My boss gave no opportunities to any employees.,0.061451
LI,,,34.1.phillips.67c.g.04,Monica gives no money to any strangers.,-0.61273
LI,,,34.1.phillips.67c.g.05,The trainer gives no treats to any dogs.,-0.07471
LI,,,34.1.phillips.67c.g.06,My parents give no donations to any charities.,-0.10567
LI,,,34.1.phillips.67c.g.07,Eloise gives no presents to any friends.,-0.20042
LI,,,34.1.phillips.67c.g.08,The government gives no help to any poor people.,0.162742
LI,,,34.1.phillips.67d.*.01,I gave anything to nobody.,-0.82221
LI,,,34.1.phillips.67d.*.02,Our professor gave any extensions to no students.,-0.89938
LI,,,34.1.phillips.67d.*.03,My boss gave any opportunities to no employees.,-1.26188
LI,,,34.1.phillips.67d.*.04,Monica gives any money to no strangers.,-1.14729
LI,,,34.1.phillips.67d.*.05,The trainer gives any treats to no dogs.,-1.13586
LI,,,34.1.phillips.67d.*.06,My parents give any donations to no charities.,-1.05785
LI,,,34.1.phillips.67d.*.07,Eloise gives any presents to no friends.,-0.60639
LI,,,34.1.phillips.67d.*.08,The government gives any help to no poor people.,-0.89419
LI,,,34.1.phillips.6b.*.01,Wallace gave at breakfast time his favorite pet beagle an enormous chewy dog-biscuit.,-0.24954
LI,,,34.1.phillips.6b.*.02,Susan gave at lunch time her son a large tasty bologna sandwich.,-0.80411
LI,,,34.1.phillips.6b.*.03,Chris gave at dinner time his wife a nice big anniversary present.,-0.50598
LI,,,34.1.phillips.6b.*.04,Karen gave at breakfast time her friend a huge delicious plate of waffles.,-0.43514
LI,,,34.1.phillips.6b.*.05,Thomas gave at lunch time his employee a huge generous raise.,-0.72179
LI,,,34.1.phillips.6b.*.06,Angela gave at dinner time her youngest daughter a cute pink pair of earrings.,-0.72669
LI,,,34.1.phillips.6b.*.07,Sabrina gave at breakfast time her elderly mother a beautiful new coffee mug.,-0.72518
LI,,,34.1.phillips.6b.*.08,Mark gave at lunch time his girlfriend an expensive high tech phone.,-1.03618
LI,,,34.1.phillips.6b.g.01,Wallace gave his favorite pet beagle an enormous chewy dog-biscuit at breakfast time.,0.684842
LI,,,34.1.phillips.6b.g.02,Susan gave her son a large tasty bologna sandwich at lunch time.,0.846813
LI,,,34.1.phillips.6b.g.03,Chris gave his wife a nice big anniversary present at dinner time.,0.877257
LI,,,34.1.phillips.6b.g.04,Karen gave her friend a huge delicious plate of waffles at breakfast time.,0.73888
LI,,,34.1.phillips.6b.g.05,Thomas gave his employee a huge generous raise at lunch time.,0.381166
LI,,,34.1.phillips.6b.g.06,Angela gave her youngest daughter a cute pink pair of earrings at dinner time.,0.846785
LI,,,34.1.phillips.6b.g.07,Sabrina gave her elderly mother a beautiful new coffee mug at breakfast time.,1.291733
LI,,,34.1.phillips.6b.g.08,Mark gave his girlfriend an expensive high tech phone at lunch time.,0.820372
LI,"(no idea why he used transitive 'promise', which many speakers don't get; intended antecedent of VPE is ""promised Mary""); SSA control sentence should have contained ""Sue promised Mary to…""; [all other items use simple subject control]",,34.1.phillips.88b.*.01,"John promised Mary to leave, and Sue did to write more poetry.",-0.74213
LI,,,34.1.phillips.88b.*.02,"Courtney tried to read more Shakespeare, and Zachary did to study more chemistry.",-0.81866
LI,,,34.1.phillips.88b.*.03,"Scott attempted to eat more vegetables, and Erin did to run more laps.",-0.66086
LI,,,34.1.phillips.88b.*.04,"Allison forgot to practice her violin, and Carl did to finish his homework.",-0.85758
LI,,,34.1.phillips.88b.*.05,"Leon intended to exercise, and Eli did to watch a movie.",-0.89792
LI,,,34.1.phillips.88b.*.06,"Kelsey hoped to win the marathon, and Christian did to win the tennis tournament.",-1.06234
LI,,,34.1.phillips.88b.*.07,"Julian learned to drive, and Rita did to compose music.",-0.43993
LI,,,34.1.phillips.88b.*.08,"Natalie refused to bike to work, and Gabrielle did to drive.",-0.65795
LI,"(no idea why he used transitive 'promise', which many speakers don't get; intended antecedent of VPE is ""promised Mary""); SSA control sentence should have contained ""Sue promised Mary to…""; [all other items use simple subject control]",,34.1.phillips.88b.g.01,"John promised Mary to leave, and Sue promised to write more poetry.",0.083378
LI,,,34.1.phillips.88b.g.02,"Courtney tried to read more Shakespeare, and Zachary tried to study more chemistry.",0.659858
LI,,,34.1.phillips.88b.g.03,"Scott attempted to eat more vegetables, and Erin attempted to run more laps.",0.499697
LI,,,34.1.phillips.88b.g.04,"Allison forgot to practice her violin, and Carl forgot to finish his homework.",0.956883
LI,,,34.1.phillips.88b.g.05,"Leon intended to exercise, and Eli intended to watch a movie.",0.565151
LI,,,34.1.phillips.88b.g.06,"Kelsey hoped to win the marathon, and Christian hoped to win the tennis tournament.",0.946276
LI,,,34.1.phillips.88b.g.07,"Julian learned to drive, and Rita learned to compose music.",0.421733
LI,,,34.1.phillips.88b.g.08,"Natalie refused to bike to work, and Gabrielle refused to drive.",0.568341
LI,,,34.1.phillips.92b.g.01,Wendy stood more buckets than Peter did in the garage.,-0.64737
LI,,,34.1.phillips.92b.g.02,John put more books than Bill did on the table.,0.33535
LI,,,34.1.phillips.92b.g.03,Sarah gave more children than Susan did candy.,-0.6237
LI,,,34.1.phillips.92b.g.04,Greg put more onions than Lana did in the soup.,-0.00739
LI,,,34.1.phillips.92b.g.05,Dwayne gave more charities than Frieda did money.,-0.88453
LI,,,34.1.phillips.92b.g.06,The instructor put more solutions than the TA did on the board.,0.222529
LI,,,34.1.phillips.92b.g.07,The farmer gave more horses than the farmhand did oats.,-0.34711
LI,,,34.1.phillips.92b.g.08,The maid put more towels than the butler did in the bathroom.,0.000359
LI,,,34.1.phillips.93b.?*.01,Wendy stood more buckets in the garage than Peter did in the basement.,-0.08303
LI,,,34.1.phillips.93b.?*.02,John put more books on the table than Bill did on the floor.,0.495702
LI,,,34.1.phillips.93b.?*.03,Sarah gave more children candy than Susan did cookies.,-0.15794
LI,,,34.1.phillips.93b.?*.04,Greg put more onions in the soup than Lana did in the salad.,1.566095
LI,,,34.1.phillips.93b.?*.05,Dwayne gave more charities money than Frieda did food.,-0.19206
LI,,,34.1.phillips.93b.?*.06,The instructor put more solutions on the board than the TA did on the handout.,0.84207
LI,,,34.1.phillips.93b.?*.07,The farmer gave more horses oats than the farmhand did hay.,0.009632
LI,,,34.1.phillips.93b.?*.08,The maid put more towels in the bathroom than the butler did in the kitchen.,0.309719
LI,,,34.1.phillips.96a.*.01,"John intended to give the children something nice to eat, and give the children he did a generous handful of candy.",-0.10585
LI,,,34.1.phillips.96a.*.02,"Becky wanted to give the students something good to write about, and give the students she did a great group of topics.",-0.3195
LI,,,34.1.phillips.96a.*.03,"Jason decided to give his teammates something healthy to drink, and give his teammates he did a bottle of Gatorade.",-0.0473
LI,,,34.1.phillips.96a.*.04,"Glen wanted to give the clients something yummy to snack on, and give the clients he did a platter of treats.",-0.85343
LI,(charities don't wear things),,34.1.phillips.96a.*.05,"Kimberly wanted to give the charity something warm to wear, and give the charity she did a bundle of jackets.",-0.5236
LI,wrong structure: infinitive is supposed to contain an object gap; instead we've now got a rationale clause,,34.1.phillips.96a.*.06,"Steve intended to give the parents something special to commemorate graduation, and give the parents he did a large plaque.",-0.79798
LI,,,34.1.phillips.96a.*.07,"Kylie decided to give the guests something comfortable to sleep on, and give the guests she did a large padded bed.",-0.3959
LI,,,34.1.phillips.96a.*.08,"Calvin intended to give the chefs something difficult to cook, and give the chefs he did a handful of challenging recipes.",-0.62804
LI,,,34.1.phillips.96a.g.01,"John intended to give the children something nice to eat, and give the children a generous handful of candy he did.",-0.04777
LI,,,34.1.phillips.96a.g.02,"Becky wanted to give the students something good to write about, and give the students a great group of topics she did.",0.055161
LI,,,34.1.phillips.96a.g.03,"Jason decided to give his teammates something healthy to drink, and give his teammates a bottle of Gatorade he did.",-0.16956
LI,,,34.1.phillips.96a.g.04,"Glen wanted to give the clients something yummy to snack on, and give the clients a platter of treats he did.",-0.594
LI,(charities don't wear things),,34.1.phillips.96a.g.05,"Kimberly wanted to give the charity something warm to wear, and give the charity a bundle of jackets she did.",-0.61075
LI,wrong structure: infinitive is supposed to contain an object gap; instead we've now got a rationale clause,,34.1.phillips.96a.g.06,"Steve intended to give the parents something special to commemorate graduation, and give the parents a large plaque he did.",-0.26268
LI,,,34.1.phillips.96a.g.07,"Kylie decided to give the guests something comfortable to sleep on, and give the guests a large padded bed she did.",-0.244
LI,,,34.1.phillips.96a.g.08,"Calvin intended to give the chefs something difficult to cook, and give the chefs a handful of challenging recipes he did.",-0.15056
LI,,,34.2.caponigro.13a.g.01,The flute was being played by the soloist.,1.243612
LI,,,34.2.caponigro.13a.g.02,The bracelet was being inspected by the jeweler.,1.49192
LI,,,34.2.caponigro.13a.g.03,The table was being set by the waiter.,1.023229
LI,,,34.2.caponigro.13a.g.04,The movie was being filmed in Toronto.,1.24354
LI,,,34.2.caponigro.13a.g.05,The song was being released as a single.,0.908891
LI,,,34.2.caponigro.13a.g.06,The floor was being cleaned by the janitor.,0.983937
LI,,,34.2.caponigro.13a.g.07,The popcorn was being cooked by the snack bar attendant.,1.045469
LI,,,34.2.caponigro.13a.g.08,The bed was being assembled by the delivery men.,1.332938
LI,,,34.2.caponigro.13b.*.01,The flute was being shiny.,-0.66766
LI,,,34.2.caponigro.13b.*.02,The bracelet was being sparkly.,-0.31736
LI,,,34.2.caponigro.13b.*.03,The table was being heavy.,-0.55007
LI,,,34.2.caponigro.13b.*.04,The movie was being scary.,-0.51673
LI,,,34.2.caponigro.13b.*.05,The song was being catchy.,-0.65238
LI,,,34.2.caponigro.13b.*.06,The floor was being slippery.,-0.69448
LI,,,34.2.caponigro.13b.*.07,The popcorn was being buttery.,-0.78242
LI,,,34.2.caponigro.13b.*.08,The bed was being comfortable.,-0.45559
LI,,,34.2.panagiotidis.6.*.01,We students of physics are taller than you of chemistry.,-0.42785
LI,,,34.2.panagiotidis.6.*.02,We speakers of English are more numerous than you of Japanese.,-0.69149
LI,,,34.2.panagiotidis.6.*.03,We citizens of California are tanner than you of Maine.,-0.38777
LI,,,34.2.panagiotidis.6.*.04,We graduates of college are just as unemployed as you of high school.,-0.47527
LI,,,34.2.panagiotidis.6.*.05,We majors in biology are just as smart as you of mathematics.,-0.54207
LI,,,34.2.panagiotidis.6.*.06,We drinkers of tea are just as hyper as you of coffee.,-0.16575
LI,,,34.2.panagiotidis.6.*.07,We users of PCs are just as competent as you of Macs.,-0.04636
LI,,,34.2.panagiotidis.6.*.08,We supporters of democrats are just as worried about the economy as you of republicans.,-0.4805
LI,,,34.2.panagiotidis.6.g.01,We students of physics are taller than you students of chemistry.,-0.3741
LI,,,34.2.panagiotidis.6.g.02,We speakers of English are more numerous than you speakers of Japanese.,-0.00492
LI,,,34.2.panagiotidis.6.g.03,We citizens of California are tanner than you citizens of Maine.,-0.05304
LI,,,34.2.panagiotidis.6.g.04,We graduates of college are just as unemployed as you graduates of high school.,-0.31216
LI,,,34.2.panagiotidis.6.g.05,We majors in biology are just as smart as you majors of mathematics.,0.485587
LI,,,34.2.panagiotidis.6.g.06,We drinkers of tea are just as hyper as you drinkers of coffee.,0.108721
LI,,,34.2.panagiotidis.6.g.07,We users of PCs are just as competent as you users of Macs.,0.34821
LI,,,34.2.panagiotidis.6.g.08,We supporters of democrats are just as worried about the economy as you supporters of republicans.,0.670822
LI,,,34.3.heycock.16.*.01,He was judge.,-0.49784
LI,,,34.3.heycock.16.*.02,She was winner.,-0.1709
LI,,,34.3.heycock.16.*.03,I was loser.,-0.61562
LI,,,34.3.heycock.16.*.04,It was culprit.,-0.7559
LI,,,34.3.heycock.16.*.05,It was problem.,-1.08353
LI,(this could be fine),,34.3.heycock.16.*.06,I was coach.,0.315272
LI,,,34.3.heycock.16.*.07,She was teacher.,-0.19199
LI,,,34.3.heycock.16.*.08,He was assistant.,-0.60225
LI,,,34.3.heycock.16.g.01,He was the judge.,1.100997
LI,,,34.3.heycock.16.g.02,She was the winner.,1.217732
LI,,,34.3.heycock.16.g.03,I was the loser.,1.209641
LI,,,34.3.heycock.16.g.04,He was the culprit.,1.236769
LI,,,34.3.heycock.16.g.05,She was the problem.,1.275306
LI,,,34.3.heycock.16.g.06,I was the coach.,1.455022
LI,,,34.3.heycock.16.g.07,She was the teacher.,0.908172
LI,,,34.3.heycock.16.g.08,He was the assistant.,0.907639
LI,,,34.3.heycock.30c.?*.01,Cat and dog that were fighting all the time had to be separated.,-0.42418
LI,,,34.3.heycock.30c.?*.02,Brother and sister that were playing all the time had to be sent to bed.,-0.14536
LI,,,34.3.heycock.30c.?*.03,Boss and employee that were disagreeing all the time had to be transferred.,-0.31472
LI,,,34.3.heycock.30c.?*.04,Salesman and client that were negotiating all the time had to be reassigned.,-0.69815
LI,,,34.3.heycock.30c.?*.05,Husband and wife that were constantly bickering filed for divorce.,-0.31128
LI,,‘move' → 'moved',34.3.heycock.30c.?*.06,Teacher and student that were constantly arguing had to be move to different classes.,-0.19717
LI,,,34.3.heycock.30c.?*.07,Maid and butler that were constantly gossiping had to be sent to different houses.,-0.44161
LI,,,34.3.heycock.30c.?*.08,Actor and actress that were constantly fighting had to be moved to different scenes.,0.186556
LI,,,34.3.heycock.30c.g.01,The cat and dog that were fighting all the time had to be separated.,0.757357
LI,,,34.3.heycock.30c.g.02,The brother and sister that were playing all the time had to be sent to bed.,-0.06927
LI,,,34.3.heycock.30c.g.03,The boss and employee that were disagreeing all the time had to be transferred.,0.48696
LI,,,34.3.heycock.30c.g.04,The salesman and client that were negotiating all the time had to be reassigned.,-0.03701
LI,,,34.3.heycock.30c.g.05,The husband and wife that were constantly bickering filed for divorce.,0.547934
LI,,‘move' → 'moved',34.3.heycock.30c.g.06,The teacher and student that were constantly arguing had to be move to different classes.,0.280517
LI,,,34.3.heycock.30c.g.07,The maid and butler that were constantly gossiping had to be sent to different houses.,0.596403
LI,,,34.3.heycock.30c.g.08,The actor and actress that were constantly fighting had to be moved to different scenes.,0.649556
LI,,,34.3.heycock.37b.??.01,Knife with the golden blade and fork with the silver handle go on the left.,-0.02946
LI,,,34.3.heycock.37b.??.02,Chair with the brown cushion and desk with the large drawers are in the study.,-0.7129
LI,,,34.3.heycock.37b.??.03,Pencil with the blue eraser and binder with the black cover are in the top drawer.,-0.46184
LI,,,34.3.heycock.37b.??.04,Dress with the purple dots and headband with the white stripes are in your dresser.,-0.73549
LI,(bare plural should be fine!),,34.3.heycock.37b.??.05,Shoes with the red laces and boots with the brown buckles are in your closet.,0.163348
LI,,,34.3.heycock.37b.??.06,Laptop with the silver case and ipod with the pink earbuds are in your suitcase.,-0.21672
LI,,,34.3.heycock.37b.??.07,Hula-hoop with green stripes and jump rope with orange handles are in the garage.,-0.41402
LI,,,34.3.heycock.37b.??.08,Hammer with the black handle and screwdriver with the square tip are in your toolbox.,-0.58573
LI,,,34.3.heycock.37b.g.01,The knife with the golden blade and the fork with the silver handle go on the left.,0.501136
LI,,,34.3.heycock.37b.g.02,The chair with the brown cushion and the desk with the large drawers are in the study.,0.130895
LI,,,34.3.heycock.37b.g.03,The pencil with the blue eraser and the binder with the black cover are in the top drawer.,1.193853
LI,,,34.3.heycock.37b.g.04,The dress with the purple dots and the headband with the white stripes are in your dresser.,0.102116
LI,,,34.3.heycock.37b.g.05,The shoes with the red laces and the boots with the brown buckles are in your closet.,0.663852
LI,,,34.3.heycock.37b.g.06,The laptop with the silver case and the ipod with the pink earbuds are in your suitcase.,0.588048
LI,,,34.3.heycock.37b.g.07,The hula-hoop with green stripes and the jump rope with orange handles are in the garage.,0.653347
LI,,,34.3.heycock.37b.g.08,The hammer with the black handle and the screwdriver with the square tip are in your toolbox.,0.961487
LI,,,34.3.heycock.55a.*.01,Fork is silver-plated and bowl is enameled.,-0.59002
LI,,,34.3.heycock.55a.*.02,Blanket is white and quilt is green.,-0.40149
LI,,,34.3.heycock.55a.*.03,Window is broken and door is open.,-0.60688
LI,,,34.3.heycock.55a.*.04,Peanut is sweet and pretzel is salty.,-0.34273
LI,,,34.3.heycock.55a.*.05,Book is long and essay is short.,-0.41395
LI,,,34.3.heycock.55a.*.06,Sunflower is yellow and rose is red.,-0.50035
LI,,,34.3.heycock.55a.*.07,Table is hard and bed is soft.,-0.90714
LI,,,34.3.heycock.55a.*.08,TV is big and radio is small.,-0.3249
LI,,,34.3.heycock.55a.g.01,The fork is silver-plated and the bowl is enameled.,0.363013
LI,,,34.3.heycock.55a.g.02,The blanket is white and the quilt is green.,0.747706
LI,,,34.3.heycock.55a.g.03,The window is broken and the door is open.,0.871408
LI,,,34.3.heycock.55a.g.04,The peanut is sweet and the pretzel is salty.,1.087386
LI,,,34.3.heycock.55a.g.05,The book is long and the essay is short.,0.626816
LI,,,34.3.heycock.55a.g.06,The sunflower is yellow and the rose is red.,1.180513
LI,,,34.3.heycock.55a.g.07,The table is hard and the bed is soft.,1.195977
LI,,,34.3.heycock.55a.g.08,The TV is big and the radio is small.,1.018898
LI,,,34.3.heycock.66.*.01,This is table.,-1.20035
LI,,,34.3.heycock.66.*.02,This is book.,-0.26345
LI,,,34.3.heycock.66.*.03,This is cabinet.,-0.7347
LI,,,34.3.heycock.66.*.04,This is car.,0.493736
LI,,,34.3.heycock.66.*.05,This is fan.,-0.68086
LI,,,34.3.heycock.66.*.06,This is pen.,-0.93977
LI,,,34.3.heycock.66.*.07,This is shelf.,-0.13953
LI,,,34.3.heycock.66.*.08,This is computer.,-0.95223
LI,,,34.3.heycock.66.g.01,This is a table.,1.862981
LI,,,34.3.heycock.66.g.02,This is a book.,1.351812
LI,,,34.3.heycock.66.g.03,This is a cabinet.,1.662439
LI,,,34.3.heycock.66.g.04,This is a car.,1.226048
LI,,,34.3.heycock.66.g.05,This is a fan.,1.459455
LI,,,34.3.heycock.66.g.06,This is a pen.,2.122465
LI,,,34.3.heycock.66.g.07,This is a shelf.,1.179412
LI,,,34.3.heycock.66.g.08,This is a computer.,1.694416
LI,"[our relative clauses end with nouns rather than verbs, resulting in recency preference attaching 's low and causing a big garden path]",,34.3.heycock.82a.*.01,The dog that I saw's collar was leather.,-1.0648
LI,,,34.3.heycock.82a.*.02,The fork with the silver handle's tines are sharp.,-0.19853
LI,"[our relative clauses end with nouns rather than verbs, resulting in recency preference attaching 's low and causing a big garden path]",,34.3.heycock.82a.*.03,The program that is sending robots to Mars's history is controversial.,-0.61175
LI,"[our relative clauses end with nouns rather than verbs, resulting in recency preference attaching 's low and causing a big garden path]",,34.3.heycock.82a.*.04,The dinosaur with terrible teeth's roar was monstrous.,-0.21544
LI,"[our relative clauses end with nouns rather than verbs, resulting in recency preference attaching 's low and causing a big garden path]",,34.3.heycock.82a.*.05,The restaurant that does n't train its staff's food is dangerous.,-1.04301
LI,"[our relative clauses end with nouns rather than verbs, resulting in recency preference attaching 's low and causing a big garden path]",,34.3.heycock.82a.*.06,The bird that awakens before sunrise's noise is annoying.,-0.20462
LI,"[our relative clauses end with nouns rather than verbs, resulting in recency preference attaching 's low and causing a big garden path]",,34.3.heycock.82a.*.07,The movie theater with the fantastic sound system's lobby was empty.,-0.03808
LI,"[our relative clauses end with nouns rather than verbs, resulting in recency preference attaching 's low and causing a big garden path]",,34.3.heycock.82a.*.08,The woman with the thick accent's speech is difficult to understand.,0.129296
LI,,,34.3.heycock.82a.g.01,The collar of the dog that I saw was leather.,0.037479
LI,,,34.3.heycock.82a.g.02,The tines of the fork with the silver handle are sharp.,0.22903
LI,,,34.3.heycock.82a.g.03,The history of the program that is sending robots to Mars is controversial.,0.321061
LI,,,34.3.heycock.82a.g.04,The roar of the dinosaur with terrible teeth was monstrous.,0.067193
LI,,,34.3.heycock.82a.g.05,The food of the restaurant that does n't train its staff is dangerous.,-0.31963
LI,,,34.3.heycock.82a.g.06,The noise of the bird that awakens before sunrise is annoying.,-0.04801
LI,,,34.3.heycock.82a.g.07,The lobby of the movie theater with the fantastic sound system was empty.,0.095421
LI,,,34.3.heycock.82a.g.08,The speech of the woman with the thick accent is difficult to understand.,0.379456
LI,,,34.3.landau.32c.*.01,There expects to be a man in the garden.,-0.93952
LI,,,34.3.landau.32c.*.02,There tried to be a meeting on Thursday.,-1.03094
LI,,,34.3.landau.32c.*.03,There desires to be a new deal in the works.,-0.85283
LI,,,34.3.landau.32c.*.04,There forgot to be a car waiting at the airport.,-0.96626
LI,,,34.3.landau.32c.*.05,There hoped to be a party for the new manager.,-0.86796
LI,,,34.3.landau.32c.*.06,There intends to be a new rule about vacation days.,-0.32129
LI,"(""there managed"" sometimes claimed good)",,34.3.landau.32c.*.07,There managed to be a bonus in my paycheck.,0.262983
LI,,,34.3.landau.32c.*.08,There remembered to be a construction sign on the freeway.,-0.84605
LI,Control structure same as used for 38.4.Boskovic.4.*.01,,34.3.landau.32c.g.01,There seems to be a man in the garden.,1.233774
LI,,,34.3.landau.32c.g.02,There appears to be a meeting on Thursday.,1.097869
LI,,,34.3.landau.32c.g.03,There seems to be a new deal in the works.,1.277243
LI,,,34.3.landau.32c.g.04,There appears to be a car waiting at the airport.,1.273651
LI,,,34.3.landau.32c.g.05,There seems to be a party for the new manager.,0.422959
LI,,,34.3.landau.32c.g.06,There appears to be a new rule about vacation days.,0.845835
LI,,,34.3.landau.32c.g.07,There seems to be a bonus in my paycheck.,1.27675
LI,,,34.3.landau.32c.g.08,There appears to be a construction sign on the freeway.,1.209721
LI,,,34.3.landau.39a.g.01,One interpreter tried to be assigned to every visiting diplomat.,0.581233
LI,,,34.3.landau.39a.g.02,One actor attempted to be the star of every scene.,1.332065
LI,,,34.3.landau.39a.g.03,One protester managed to be heard during every speech.,0.946919
LI,,,34.3.landau.39a.g.04,One child refused to complete every assignment.,0.841261
LI,,,34.3.landau.39a.g.05,One soldier refused to obey every order.,0.708417
LI,,,34.3.landau.39a.g.06,One mechanic managed to repair every car.,0.987571
LI,,,34.3.landau.39a.g.07,One dog attempted to fetch every stick.,1.033171
LI,,missing 'every',34.3.landau.39a.g.08,One athlete tried to win event.,-0.07497
LI,,,34.3.landau.39b.*.01,One interpreter each tried to be assigned to every visiting diplomat.,0.040814
LI,,,34.3.landau.39b.*.02,One actor each attempted to be the star of every scene.,-0.2264
LI,,,34.3.landau.39b.*.03,One protester each managed to be heard during every speech.,-0.38753
LI,,,34.3.landau.39b.*.04,One child each refused to complete every assignment.,-0.39611
LI,,,34.3.landau.39b.*.05,One soldier each refused to obey every order.,-0.59274
LI,,,34.3.landau.39b.*.06,One mechanic each managed to repair every car.,-0.62991
LI,,,34.3.landau.39b.*.07,One dog each attempted to fetch every stick.,-0.74889
LI,,2nd 'each' → 'every',34.3.landau.39b.*.08,One athlete each tried to win each event.,-0.24785
LI,,,34.3.takano.10b.*.01,I bought any books only occasionally.,-0.86739
LI,,,34.3.takano.10b.*.02,Prof. Jones met with any students only rarely.,-0.23541
LI,,,34.3.takano.10b.*.03,The store sold any hardbacks only occasionally.,-0.81865
LI,,,34.3.takano.10b.*.04,Fritz wrote any stories only rarely.,-0.82312
LI,,,34.3.takano.10b.*.05,The postman delivers any letters only occasionally.,-0.39735
LI,,,34.3.takano.10b.*.06,The virtuoso practices any pieces only rarely.,-0.84465
LI,,,34.3.takano.10b.*.07,Thin people eat any snacks only occasionally.,-0.48634
LI,,,34.3.takano.10b.*.08,Most people clean any windows only rarely.,-1.07389
LI,,,34.3.takano.10b.g.01,I only occasionally bought any books.,0.119067
LI,,,34.3.takano.10b.g.02,Prof. Jones only rarely met with any students.,0.850923
LI,,,34.3.takano.10b.g.03,The store only occasionally sold any hardbacks.,0.195144
LI,,,34.3.takano.10b.g.04,Fritz only rarely wrote any stories.,0.2626
LI,,,34.3.takano.10b.g.05,The postman only occasionally delivers any letters.,0.354882
LI,,,34.3.takano.10b.g.06,The virtuoso only rarely practices any pieces.,-0.16958
LI,,,34.3.takano.10b.g.07,Thin people only occasionally eat any snacks.,-0.24107
LI,,,34.3.takano.10b.g.08,Most people only rarely clean any windows.,-0.44011
LI,,,34.3.takano.9e.*.01,Anything has nobody done.,-1.28452
LI,,,34.3.takano.9e.*.02,Anywhere has nobody gone.,-1.20819
LI,,,34.3.takano.9e.*.03,Anyone has nobody met.,-1.37076
LI,,,34.3.takano.9e.*.04,Anything has nobody bought.,-1.42246
LI,,,34.3.takano.9e.*.05,Anything has nobody seen.,-1.06187
LI,,,34.3.takano.9e.*.06,Anyone has nobody praised.,-1.21999
LI,,,34.3.takano.9e.*.07,Anything has nobody desired.,-1.23921
LI,,,34.3.takano.9e.*.08,Anyone has nobody found.,-1.11652
LI,,,34.3.takano.9e.g.01,Nobody has done anything.,0.796977
LI,,,34.3.takano.9e.g.02,Nobody has gone anywhere.,-0.04894
LI,,,34.3.takano.9e.g.03,Nobody has met anyone.,0.2432
LI,,,34.3.takano.9e.g.04,Nobody has bought anything.,0.513856
LI,,,34.3.takano.9e.g.05,Nobody has seen anything.,0.554806
LI,,,34.3.takano.9e.g.06,Nobody has praised anyone.,-0.3146
LI,,,34.3.takano.9e.g.07,Nobody has desired anything.,0.034327
LI,,,34.3.takano.9e.g.08,Nobody has found anyone.,-0.12142
LI,"[was meant to test possibility of null C following upstairs PP, but could equally be testing null C preceding downstairs PP]",,34.4.boskovic.3a.*.01,It seemed at that time David had left.,0.175023
LI,"[was meant to test possibility of null C following upstairs PP, but could equally be testing null C preceding downstairs PP]",,34.4.boskovic.3a.*.02,It seemed at that time Mark had quit.,0.173604
LI,"[was meant to test possibility of null C following upstairs PP, but could equally be testing null C preceding downstairs PP]",,34.4.boskovic.3a.*.03,It seemed at that time Michelle had won.,0.464523
LI,"[was meant to test possibility of null C following upstairs PP, but could equally be testing null C preceding downstairs PP]",,34.4.boskovic.3a.*.04,It seemed at that time Stacey had been hired.,0.042315
LI,"[was meant to test possibility of null C following upstairs PP, but could equally be testing null C preceding downstairs PP]",,34.4.boskovic.3a.*.05,It seemed at that time Tom had moved.,0.464099
LI,"[was meant to test possibility of null C following upstairs PP, but could equally be testing null C preceding downstairs PP]",,34.4.boskovic.3a.*.06,It seemed at that time Clara had been promoted.,0.30255
LI,"[was meant to test possibility of null C following upstairs PP, but could equally be testing null C preceding downstairs PP]",,34.4.boskovic.3a.*.07,It seemed at that time Adam had been fired.,0.459908
LI,"[was meant to test possibility of null C following upstairs PP, but could equally be testing null C preceding downstairs PP]",,34.4.boskovic.3a.*.08,It seemed at that time Robert had confessed.,0.24065
LI,,,34.4.boskovic.3b.*.01,What the students believe is they will pass the exam.,0.08672
LI,,,34.4.boskovic.3b.*.02,What the athletes believe is they will win the game.,0.24276
LI,,,34.4.boskovic.3b.*.03,What the squirrels believe is they will find food.,0.127438
LI,,,34.4.boskovic.3b.*.04,What the robbers believe is they will escape the cops.,-0.21054
LI,,,34.4.boskovic.3b.*.05,What the detectives believe is they will solve the case.,-0.01617
LI,,‘they' → 'the',34.4.boskovic.3b.*.06,What they children believe is they will get some candy.,-0.99157
LI,,,34.4.boskovic.3b.*.07,What the runners believe is they will win the race.,-0.1155
LI,,,34.4.boskovic.3b.*.08,What the police believe is they will catch the thief.,-0.07052
LI,,,34.4.boskovic.3c.*.01,They suspected and we believed Peter would visit the hospital.,0.228669
LI,,,34.4.boskovic.3c.*.02,They believed and we thought Jamie would finish the assignment.,-0.49527
LI,,,34.4.boskovic.3c.*.03,They thought and we expected Charles would read his speech.,-0.54528
LI,,,34.4.boskovic.3c.*.04,They expected and we knew Courtney would ride the elephant.,-0.58605
