dataset,notes,typo?,id,sentence,sent_length
LI,,,34.1.fox.27.g.06,"Oliver said he read about an interesting Supreme Court case, but I don't know which case.",18
LI,,,34.1.fox.27.g.07,"Jose said he dreamt about one of his High School classes, but I don't know which class.",19
LI,,^know^,34.1.fox.27.g.08,"Brandon said he requested one of the tutors, but I don't which tutor.",15
LI,,,34.1.fox.28.*.01,"They said they heard about a Balkan language, but I don't know which Balkan language they did.",19
LI,,,34.1.fox.28.*.02,"Monica said she saw one of your videos on the internet, but I'm not sure which video she did.",21
LI,,,34.1.fox.28.*.03,"Steven said he read about a new hybrid car, but I don't know which car he did.",19
LI,,,34.1.fox.28.*.04,"Benjamin said he noticed a suspicious-looking man by the school, but I don't know which man he did.",20
LI,,,34.1.fox.28.*.05,"Melissa said she read about one of Shakespeare's plays, but I don't know which play she did.",19
LI,,,34.1.fox.28.*.06,"Oliver said he read about an interesting Supreme Court case, but I don't know which case he did.",20
LI,,,34.1.fox.28.*.07,"Jose said he dreamt about one of his High School classes, but I don't know which class he did.",21
LI,,^know^,34.1.fox.28.*.08,"Brandon said he requested one of the tutors, but I don't which tutor he did.",17
LI,,,34.1.phillips.3d.g.01,Wallace and Greg like each other.,8
LI,,,34.1.phillips.3d.g.02,Matthew and Jennifer hugged each other.,8
LI,,,34.1.phillips.3d.g.03,Stephanie and Christopher hurt each other.,8
LI,,,34.1.phillips.3d.g.04,Amber and William saw each other.,8
LI,,,34.1.phillips.3d.g.05,Eric and Amy found each other.,8
LI,,,34.1.phillips.3d.g.06,Kelly and Aaron love each other.,8
LI,,,34.1.phillips.3d.g.07,Richard and Christine hate each other.,8
LI,,,34.1.phillips.3d.g.08,Shannon and Dustin surprised each other.,8
LI,,,34.1.phillips.3e.*.01,Each other like Wallace and Greg.,8
LI,,,34.1.phillips.3e.*.02,Each other hugged Matthew and Jennifer.,8
LI,,,34.1.phillips.3e.*.03,Each other hurt Stephanie and Christopher.,8
LI,,,34.1.phillips.3e.*.04,Each other saw Amber and William.,8
LI,,,34.1.phillips.3e.*.05,Each other found Eric and Amy.,8
LI,,,34.1.phillips.3e.*.06,Each other love Kelly and Aaron.,8
LI,,,34.1.phillips.3e.*.07,Each other hate Richard and Christine.,8
LI,,,34.1.phillips.3e.*.08,Each other surprised Shannon and Dustin.,8
LI,,,34.1.phillips.59b.*.01,The students were punished and their teachers by their parents.,12
LI,,,34.1.phillips.59b.*.02,The first-time racers were defeated and the amateur racers by the professional racers.,15
LI,,,34.1.phillips.59b.*.03,The volunteers were appreciated and the interns by the doctors.,12
LI,,,34.1.phillips.59b.*.04,The children were cared for and the teenagers by the adults.,13
LI,,,34.1.phillips.59b.*.05,The poor were overlooked and the bankers by the politicians.,12
LI,,,34.1.phillips.59b.*.06,The directors were impressed and the singers by the dancers.,12
LI,,,34.1.phillips.59b.*.07,The smugglers were arrested and the coastguard by the police.,12
LI,,,34.1.phillips.59b.*.08,The employees were overworked and the executives by the managers.,12
LI,,,34.1.phillips.59b.g.01,The students were punished by their parents and their teachers.,12
LI,,,34.1.phillips.59b.g.02,The first-time racers were defeated by the professional racers and the amateur racers.,15
LI,,,34.1.phillips.59b.g.03,The volunteers were appreciated by the doctors and the interns.,12
LI,,,34.1.phillips.59b.g.04,The children were cared for by the adults and the teenagers.,13
LI,,,34.1.phillips.59b.g.05,The poor were overlooked by the politicians and the bankers.,12
LI,,,34.1.phillips.59b.g.06,The directors were impressed by the dancers and singers.,11
LI,,,34.1.phillips.59b.g.07,The smugglers were arrested by the police and the coastguard.,12
LI,,,34.1.phillips.59b.g.08,The employees were overworked by the managers and the executives.,12
LI,,,34.1.phillips.67c.g.01,I gave nothing to anybody.,7
LI,,,34.1.phillips.67c.g.02,Our professor gave no extensions to any students.,10
LI,,,34.1.phillips.67c.g.03,My boss gave no opportunities to any employees.,10
LI,,,34.1.phillips.67c.g.04,Monica gives no money to any strangers.,9
LI,,,34.1.phillips.67c.g.05,The trainer gives no treats to any dogs.,10
LI,,,34.1.phillips.67c.g.06,My parents give no donations to any charities.,10
LI,,,34.1.phillips.67c.g.07,Eloise gives no presents to any friends.,9
LI,,,34.1.phillips.67c.g.08,The government gives no help to any poor people.,11
LI,,,34.1.phillips.67d.*.01,I gave anything to nobody.,7
LI,,,34.1.phillips.67d.*.02,Our professor gave any extensions to no students.,10
LI,,,34.1.phillips.67d.*.03,My boss gave any opportunities to no employees.,10
LI,,,34.1.phillips.67d.*.04,Monica gives any money to no strangers.,9
LI,,,34.1.phillips.67d.*.05,The trainer gives any treats to no dogs.,10
LI,,,34.1.phillips.67d.*.06,My parents give any donations to no charities.,10
LI,,,34.1.phillips.67d.*.07,Eloise gives any presents to no friends.,9
LI,,,34.1.phillips.67d.*.08,The government gives any help to no poor people.,11
LI,,,34.1.phillips.6b.*.01,Wallace gave at breakfast time his favorite pet beagle an enormous chewy dog-biscuit.,15
LI,,,34.1.phillips.6b.*.02,Susan gave at lunch time her son a large tasty bologna sandwich.,14
LI,,,34.1.phillips.6b.*.03,Chris gave at dinner time his wife a nice big anniversary present.,14
LI,,,34.1.phillips.6b.*.04,Karen gave at breakfast time her friend a huge delicious plate of waffles.,15
LI,,,34.1.phillips.6b.*.05,Thomas gave at lunch time his employee a huge generous raise.,13
LI,,,34.1.phillips.6b.*.06,Angela gave at dinner time her youngest daughter a cute pink pair of earrings.,16
LI,,,34.1.phillips.6b.*.07,Sabrina gave at breakfast time her elderly mother a beautiful new coffee mug.,15
LI,,,34.1.phillips.6b.*.08,Mark gave at lunch time his girlfriend an expensive high tech phone.,14
LI,,,34.1.phillips.6b.g.01,Wallace gave his favorite pet beagle an enormous chewy dog-biscuit at breakfast time.,15
LI,,,34.1.phillips.6b.g.02,Susan gave her son a large tasty bologna sandwich at lunch time.,14
LI,,,34.1.phillips.6b.g.03,Chris gave his wife a nice big anniversary present at dinner time.,14
LI,,,34.1.phillips.6b.g.04,Karen gave her friend a huge delicious plate of waffles at breakfast time.,15
LI,,,34.1.phillips.6b.g.05,Thomas gave his employee a huge generous raise at lunch time.,13
LI,,,34.1.phillips.6b.g.06,Angela gave her youngest daughter a cute pink pair of earrings at dinner time.,16
LI,,,34.1.phillips.6b.g.07,Sabrina gave her elderly mother a beautiful new coffee mug at breakfast time.,15
LI,,,34.1.phillips.6b.g.08,Mark gave his girlfriend an expensive high tech phone at lunch time.,14
LI,"(no idea why he used transitive 'promise', which many speakers don't get; intended antecedent of VPE is ""promised Mary""); SSA control sentence should have contained ""Sue promised Mary to…""; [all other items use simple subject control]",,34.1.phillips.88b.*.01,"John promised Mary to leave, and Sue did to write more poetry.",14
LI,,,34.1.phillips.88b.*.02,"Courtney tried to read more Shakespeare, and Zachary did to study more chemistry.",15
LI,,,34.1.phillips.88b.*.03,"Scott attempted to eat more vegetables, and Erin did to run more laps.",15
LI,,,34.1.phillips.88b.*.04,"Allison forgot to practice her violin, and Carl did to finish his homework.",15
LI,,,34.1.phillips.88b.*.05,"Leon intended to exercise, and Eli did to watch a movie.",13
LI,,,34.1.phillips.88b.*.06,"Kelsey hoped to win the marathon, and Christian did to win the tennis tournament.",16
LI,,,34.1.phillips.88b.*.07,"Julian learned to drive, and Rita did to compose music.",12
LI,,,34.1.phillips.88b.*.08,"Natalie refused to bike to work, and Gabrielle did to drive.",13
LI,"(no idea why he used transitive 'promise', which many speakers don't get; intended antecedent of VPE is ""promised Mary""); SSA control sentence should have contained ""Sue promised Mary to…""; [all other items use simple subject control]",,34.1.phillips.88b.g.01,"John promised Mary to leave, and Sue promised to write more poetry.",14
LI,,,34.1.phillips.88b.g.02,"Courtney tried to read more Shakespeare, and Zachary tried to study more chemistry.",15
LI,,,34.1.phillips.88b.g.03,"Scott attempted to eat more vegetables, and Erin attempted to run more laps.",15
LI,,,34.1.phillips.88b.g.04,"Allison forgot to practice her violin, and Carl forgot to finish his homework.",15
LI,,,34.1.phillips.88b.g.05,"Leon intended to exercise, and Eli intended to watch a movie.",13
LI,,,34.1.phillips.88b.g.06,"Kelsey hoped to win the marathon, and Christian hoped to win the tennis tournament.",16
LI,,,34.1.phillips.88b.g.07,"Julian learned to drive, and Rita learned to compose music.",12
LI,,,34.1.phillips.88b.g.08,"Natalie refused to bike to work, and Gabrielle refused to drive.",13
LI,,,34.1.phillips.92b.g.01,Wendy stood more buckets than Peter did in the garage.,12
LI,,,34.1.phillips.92b.g.02,John put more books than Bill did on the table.,12
LI,,,34.1.phillips.92b.g.03,Sarah gave more children than Susan did candy.,10
LI,,,34.1.phillips.92b.g.04,Greg put more onions than Lana did in the soup.,12
LI,,,34.1.phillips.92b.g.05,Dwayne gave more charities than Frieda did money.,10
LI,,,34.1.phillips.92b.g.06,The instructor put more solutions than the TA did on the board.,14
LI,,,34.1.phillips.92b.g.07,The farmer gave more horses than the farmhand did oats.,12
LI,,,34.1.phillips.92b.g.08,The maid put more towels than the butler did in the bathroom.,14
LI,,,34.1.phillips.93b.?*.01,Wendy stood more buckets in the garage than Peter did in the basement.,15
LI,,,34.1.phillips.93b.?*.02,John put more books on the table than Bill did on the floor.,15
LI,,,34.1.phillips.93b.?*.03,Sarah gave more children candy than Susan did cookies.,11
LI,,,34.1.phillips.93b.?*.04,Greg put more onions in the soup than Lana did in the salad.,15
LI,,,34.1.phillips.93b.?*.05,Dwayne gave more charities money than Frieda did food.,11
LI,,,34.1.phillips.93b.?*.06,The instructor put more solutions on the board than the TA did on the handout.,17
LI,,,34.1.phillips.93b.?*.07,The farmer gave more horses oats than the farmhand did hay.,13
LI,,,34.1.phillips.93b.?*.08,The maid put more towels in the bathroom than the butler did in the kitchen.,17
LI,,,34.1.phillips.96a.*.01,"John intended to give the children something nice to eat, and give the children he did a generous handful of candy.",23
LI,,,34.1.phillips.96a.*.02,"Becky wanted to give the students something good to write about, and give the students she did a great group of topics.",24
LI,,,34.1.phillips.96a.*.03,"Jason decided to give his teammates something healthy to drink, and give his teammates he did a bottle of Gatorade.",22
LI,,,34.1.phillips.96a.*.04,"Glen wanted to give the clients something yummy to snack on, and give the clients he did a platter of treats.",23
LI,(charities don't wear things),,34.1.phillips.96a.*.05,"Kimberly wanted to give the charity something warm to wear, and give the charity she did a bundle of jackets.",22
LI,wrong structure: infinitive is supposed to contain an object gap; instead we've now got a rationale clause,,34.1.phillips.96a.*.06,"Steve intended to give the parents something special to commemorate graduation, and give the parents he did a large plaque.",22
LI,,,34.1.phillips.96a.*.07,"Kylie decided to give the guests something comfortable to sleep on, and give the guests she did a large padded bed.",23
LI,,,34.1.phillips.96a.*.08,"Calvin intended to give the chefs something difficult to cook, and give the chefs he did a handful of challenging recipes.",23
LI,,,34.1.phillips.96a.g.01,"John intended to give the children something nice to eat, and give the children a generous handful of candy he did.",23
LI,,,34.1.phillips.96a.g.02,"Becky wanted to give the students something good to write about, and give the students a great group of topics she did.",24
LI,,,34.1.phillips.96a.g.03,"Jason decided to give his teammates something healthy to drink, and give his teammates a bottle of Gatorade he did.",22
LI,,,34.1.phillips.96a.g.04,"Glen wanted to give the clients something yummy to snack on, and give the clients a platter of treats he did.",23
LI,(charities don't wear things),,34.1.phillips.96a.g.05,"Kimberly wanted to give the charity something warm to wear, and give the charity a bundle of jackets she did.",22
LI,wrong structure: infinitive is supposed to contain an object gap; instead we've now got a rationale clause,,34.1.phillips.96a.g.06,"Steve intended to give the parents something special to commemorate graduation, and give the parents a large plaque he did.",22
LI,,,34.1.phillips.96a.g.07,"Kylie decided to give the guests something comfortable to sleep on, and give the guests a large padded bed she did.",23
LI,,,34.1.phillips.96a.g.08,"Calvin intended to give the chefs something difficult to cook, and give the chefs a handful of challenging recipes he did.",23
LI,,,34.2.caponigro.13a.g.01,The flute was being played by the soloist.,10
LI,,,34.2.caponigro.13a.g.02,The bracelet was being inspected by the jeweler.,10
LI,,,34.2.caponigro.13a.g.03,The table was being set by the waiter.,10
LI,,,34.2.caponigro.13a.g.04,The movie was being filmed in Toronto.,9
LI,,,34.2.caponigro.13a.g.05,The song was being released as a single.,10
LI,,,34.2.caponigro.13a.g.06,The floor was being cleaned by the janitor.,10
LI,,,34.2.caponigro.13a.g.07,The popcorn was being cooked by the snack bar attendant.,12
LI,,,34.2.caponigro.13a.g.08,The bed was being assembled by the delivery men.,11
LI,,,34.2.caponigro.13b.*.01,The flute was being shiny.,7
LI,,,34.2.caponigro.13b.*.02,The bracelet was being sparkly.,7
LI,,,34.2.caponigro.13b.*.03,The table was being heavy.,7
LI,,,34.2.caponigro.13b.*.04,The movie was being scary.,7
LI,,,34.2.caponigro.13b.*.05,The song was being catchy.,7
LI,,,34.2.caponigro.13b.*.06,The floor was being slippery.,7
LI,,,34.2.caponigro.13b.*.07,The popcorn was being buttery.,7
LI,,,34.2.caponigro.13b.*.08,The bed was being comfortable.,7
LI,,,34.2.panagiotidis.6.*.01,We students of physics are taller than you of chemistry.,12
LI,,,34.2.panagiotidis.6.*.02,We speakers of English are more numerous than you of Japanese.,13
LI,,,34.2.panagiotidis.6.*.03,We citizens of California are tanner than you of Maine.,12
LI,,,34.2.panagiotidis.6.*.04,We graduates of college are just as unemployed as you of high school.,15
LI,,,34.2.panagiotidis.6.*.05,We majors in biology are just as smart as you of mathematics.,14
LI,,,34.2.panagiotidis.6.*.06,We drinkers of tea are just as hyper as you of coffee.,14
LI,,,34.2.panagiotidis.6.*.07,We users of PCs are just as competent as you of Macs.,14
LI,,,34.2.panagiotidis.6.*.08,We supporters of democrats are just as worried about the economy as you of republicans.,17
LI,,,34.2.panagiotidis.6.g.01,We students of physics are taller than you students of chemistry.,13
LI,,,34.2.panagiotidis.6.g.02,We speakers of English are more numerous than you speakers of Japanese.,14
LI,,,34.2.panagiotidis.6.g.03,We citizens of California are tanner than you citizens of Maine.,13
LI,,,34.2.panagiotidis.6.g.04,We graduates of college are just as unemployed as you graduates of high school.,16
LI,,,34.2.panagiotidis.6.g.05,We majors in biology are just as smart as you majors of mathematics.,15
LI,,,34.2.panagiotidis.6.g.06,We drinkers of tea are just as hyper as you drinkers of coffee.,15
LI,,,34.2.panagiotidis.6.g.07,We users of PCs are just as competent as you users of Macs.,15
LI,,,34.2.panagiotidis.6.g.08,We supporters of democrats are just as worried about the economy as you supporters of republicans.,18
LI,,,34.3.heycock.16.*.01,He was judge.,5
LI,,,34.3.heycock.16.*.02,She was winner.,5
LI,,,34.3.heycock.16.*.03,I was loser.,5
LI,,,34.3.heycock.16.*.04,It was culprit.,5
LI,,,34.3.heycock.16.*.05,It was problem.,5
LI,(this could be fine),,34.3.heycock.16.*.06,I was coach.,5
LI,,,34.3.heycock.16.*.07,She was teacher.,5
LI,,,34.3.heycock.16.*.08,He was assistant.,5
LI,,,34.3.heycock.16.g.01,He was the judge.,6
LI,,,34.3.heycock.16.g.02,She was the winner.,6
LI,,,34.3.heycock.16.g.03,I was the loser.,6
LI,,,34.3.heycock.16.g.04,He was the culprit.,6
LI,,,34.3.heycock.16.g.05,She was the problem.,6
LI,,,34.3.heycock.16.g.06,I was the coach.,6
LI,,,34.3.heycock.16.g.07,She was the teacher.,6
LI,,,34.3.heycock.16.g.08,He was the assistant.,6
LI,,,34.3.heycock.30c.?*.01,Cat and dog that were fighting all the time had to be separated.,15
LI,,,34.3.heycock.30c.?*.02,Brother and sister that were playing all the time had to be sent to bed.,17
LI,,,34.3.heycock.30c.?*.03,Boss and employee that were disagreeing all the time had to be transferred.,15
LI,,,34.3.heycock.30c.?*.04,Salesman and client that were negotiating all the time had to be reassigned.,15
LI,,,34.3.heycock.30c.?*.05,Husband and wife that were constantly bickering filed for divorce.,12
LI,,‘move' → 'moved',34.3.heycock.30c.?*.06,Teacher and student that were constantly arguing had to be move to different classes.,16
LI,,,34.3.heycock.30c.?*.07,Maid and butler that were constantly gossiping had to be sent to different houses.,16
LI,,,34.3.heycock.30c.?*.08,Actor and actress that were constantly fighting had to be moved to different scenes.,16
LI,,,34.3.heycock.30c.g.01,The cat and dog that were fighting all the time had to be separated.,16
LI,,,34.3.heycock.30c.g.02,The brother and sister that were playing all the time had to be sent to bed.,18
LI,,,34.3.heycock.30c.g.03,The boss and employee that were disagreeing all the time had to be transferred.,16
LI,,,34.3.heycock.30c.g.04,The salesman and client that were negotiating all the time had to be reassigned.,16
LI,,,34.3.heycock.30c.g.05,The husband and wife that were constantly bickering filed for divorce.,13
LI,,‘move' → 'moved',34.3.heycock.30c.g.06,The teacher and student that were constantly arguing had to be move to different classes.,17
LI,,,34.3.heycock.30c.g.07,The maid and butler that were constantly gossiping had to be sent to different houses.,17
LI,,,34.3.heycock.30c.g.08,The actor and actress that were constantly fighting had to be moved to different scenes.,17
LI,,,34.3.heycock.37b.??.01,Knife with the golden blade and fork with the silver handle go on the left.,17
LI,,,34.3.heycock.37b.??.02,Chair with the brown cushion and desk with the large drawers are in the study.,17
LI,,,34.3.heycock.37b.??.03,Pencil with the blue eraser and binder with the black cover are in the top drawer.,18
LI,,,34.3.heycock.37b.??.04,Dress with the purple dots and headband with the white stripes are in your dresser.,17
LI,(bare plural should be fine!),,34.3.heycock.37b.??.05,Shoes with the red laces and boots with the brown buckles are in your closet.,17
LI,,,34.3.heycock.37b.??.06,Laptop with the silver case and ipod with the pink earbuds are in your suitcase.,17
LI,,,34.3.heycock.37b.??.07,Hula-hoop with green stripes and jump rope with orange handles are in the garage.,16
LI,,,34.3.heycock.37b.??.08,Hammer with the black handle and screwdriver with the square tip are in your toolbox.,17
LI,,,34.3.heycock.37b.g.01,The knife with the golden blade and the fork with the silver handle go on the left.,19
LI,,,34.3.heycock.37b.g.02,The chair with the brown cushion and the desk with the large drawers are in the study.,19
LI,,,34.3.heycock.37b.g.03,The pencil with the blue eraser and the binder with the black cover are in the top drawer.,20
LI,,,34.3.heycock.37b.g.04,The dress with the purple dots and the headband with the white stripes are in your dresser.,19
LI,,,34.3.heycock.37b.g.05,The shoes with the red laces and the boots with the brown buckles are in your closet.,19
LI,,,34.3.heycock.37b.g.06,The laptop with the silver case and the ipod with the pink earbuds are in your suitcase.,19
LI,,,34.3.heycock.37b.g.07,The hula-hoop with green stripes and the jump rope with orange handles are in the garage.,18
LI,,,34.3.heycock.37b.g.08,The hammer with the black handle and the screwdriver with the square tip are in your toolbox.,19
LI,,,34.3.heycock.55a.*.01,Fork is silver-plated and bowl is enameled.,9
LI,,,34.3.heycock.55a.*.02,Blanket is white and quilt is green.,9
LI,,,34.3.heycock.55a.*.03,Window is broken and door is open.,9
LI,,,34.3.heycock.55a.*.04,Peanut is sweet and pretzel is salty.,9
LI,,,34.3.heycock.55a.*.05,Book is long and essay is short.,9
LI,,,34.3.heycock.55a.*.06,Sunflower is yellow and rose is red.,9
LI,,,34.3.heycock.55a.*.07,Table is hard and bed is soft.,9
LI,,,34.3.heycock.55a.*.08,TV is big and radio is small.,9
LI,,,34.3.heycock.55a.g.01,The fork is silver-plated and the bowl is enameled.,11
LI,,,34.3.heycock.55a.g.02,The blanket is white and the quilt is green.,11
LI,,,34.3.heycock.55a.g.03,The window is broken and the door is open.,11
LI,,,34.3.heycock.55a.g.04,The peanut is sweet and the pretzel is salty.,11
LI,,,34.3.heycock.55a.g.05,The book is long and the essay is short.,11
LI,,,34.3.heycock.55a.g.06,The sunflower is yellow and the rose is red.,11
LI,,,34.3.heycock.55a.g.07,The table is hard and the bed is soft.,11
LI,,,34.3.heycock.55a.g.08,The TV is big and the radio is small.,11
LI,,,34.3.heycock.66.*.01,This is table.,5
LI,,,34.3.heycock.66.*.02,This is book.,5
LI,,,34.3.heycock.66.*.03,This is cabinet.,5
LI,,,34.3.heycock.66.*.04,This is car.,5
LI,,,34.3.heycock.66.*.05,This is fan.,5
LI,,,34.3.heycock.66.*.06,This is pen.,5
LI,,,34.3.heycock.66.*.07,This is shelf.,5
LI,,,34.3.heycock.66.*.08,This is computer.,5
LI,,,34.3.heycock.66.g.01,This is a table.,6
LI,,,34.3.heycock.66.g.02,This is a book.,6
LI,,,34.3.heycock.66.g.03,This is a cabinet.,6
LI,,,34.3.heycock.66.g.04,This is a car.,6
LI,,,34.3.heycock.66.g.05,This is a fan.,6
LI,,,34.3.heycock.66.g.06,This is a pen.,6
LI,,,34.3.heycock.66.g.07,This is a shelf.,6
LI,,,34.3.heycock.66.g.08,This is a computer.,6
LI,"[our relative clauses end with nouns rather than verbs, resulting in recency preference attaching 's low and causing a big garden path]",,34.3.heycock.82a.*.01,The dog that I saw's collar was leather.,10
LI,,,34.3.heycock.82a.*.02,The fork with the silver handle's tines are sharp.,11
LI,"[our relative clauses end with nouns rather than verbs, resulting in recency preference attaching 's low and causing a big garden path]",,34.3.heycock.82a.*.03,The program that is sending robots to Mars's history is controversial.,13
LI,"[our relative clauses end with nouns rather than verbs, resulting in recency preference attaching 's low and causing a big garden path]",,34.3.heycock.82a.*.04,The dinosaur with terrible teeth's roar was monstrous.,10
LI,"[our relative clauses end with nouns rather than verbs, resulting in recency preference attaching 's low and causing a big garden path]",,34.3.heycock.82a.*.05,The restaurant that does n't train its staff's food is dangerous.,12
LI,"[our relative clauses end with nouns rather than verbs, resulting in recency preference attaching 's low and causing a big garden path]",,34.3.heycock.82a.*.06,The bird that awakens before sunrise's noise is annoying.,11
LI,"[our relative clauses end with nouns rather than verbs, resulting in recency preference attaching 's low and causing a big garden path]",,34.3.heycock.82a.*.07,The movie theater with the fantastic sound system's lobby was empty.,13
LI,"[our relative clauses end with nouns rather than verbs, resulting in recency preference attaching 's low and causing a big garden path]",,34.3.heycock.82a.*.08,The woman with the thick accent's speech is difficult to understand.,13
LI,,,34.3.heycock.82a.g.01,The collar of the dog that I saw was leather.,12
LI,,,34.3.heycock.82a.g.02,The tines of the fork with the silver handle are sharp.,13
LI,,,34.3.heycock.82a.g.03,The history of the program that is sending robots to Mars is controversial.,15
LI,,,34.3.heycock.82a.g.04,The roar of the dinosaur with terrible teeth was monstrous.,12
LI,,,34.3.heycock.82a.g.05,The food of the restaurant that does n't train its staff is dangerous.,14
LI,,,34.3.heycock.82a.g.06,The noise of the bird that awakens before sunrise is annoying.,13
LI,,,34.3.heycock.82a.g.07,The lobby of the movie theater with the fantastic sound system was empty.,15
LI,,,34.3.heycock.82a.g.08,The speech of the woman with the thick accent is difficult to understand.,15
LI,,,34.3.landau.32c.*.01,There expects to be a man in the garden.,11
LI,,,34.3.landau.32c.*.02,There tried to be a meeting on Thursday.,10
LI,,,34.3.landau.32c.*.03,There desires to be a new deal in the works.,12
LI,,,34.3.landau.32c.*.04,There forgot to be a car waiting at the airport.,12
LI,,,34.3.landau.32c.*.05,There hoped to be a party for the new manager.,12
LI,,,34.3.landau.32c.*.06,There intends to be a new rule about vacation days.,12
LI,"(""there managed"" sometimes claimed good)",,34.3.landau.32c.*.07,There managed to be a bonus in my paycheck.,11
LI,,,34.3.landau.32c.*.08,There remembered to be a construction sign on the freeway.,12
LI,Control structure same as used for 38.4.Boskovic.4.*.01,,34.3.landau.32c.g.01,There seems to be a man in the garden.,11
LI,,,34.3.landau.32c.g.02,There appears to be a meeting on Thursday.,10
LI,,,34.3.landau.32c.g.03,There seems to be a new deal in the works.,12
LI,,,34.3.landau.32c.g.04,There appears to be a car waiting at the airport.,12
LI,,,34.3.landau.32c.g.05,There seems to be a party for the new manager.,12
LI,,,34.3.landau.32c.g.06,There appears to be a new rule about vacation days.,12
LI,,,34.3.landau.32c.g.07,There seems to be a bonus in my paycheck.,11
LI,,,34.3.landau.32c.g.08,There appears to be a construction sign on the freeway.,12
LI,,,34.3.landau.39a.g.01,One interpreter tried to be assigned to every visiting diplomat.,12
LI,,,34.3.landau.39a.g.02,One actor attempted to be the star of every scene.,12
LI,,,34.3.landau.39a.g.03,One protester managed to be heard during every speech.,11
LI,,,34.3.landau.39a.g.04,One child refused to complete every assignment.,9
LI,,,34.3.landau.39a.g.05,One soldier refused to obey every order.,9
LI,,,34.3.landau.39a.g.06,One mechanic managed to repair every car.,9
LI,,,34.3.landau.39a.g.07,One dog attempted to fetch every stick.,9
LI,,missing 'every',34.3.landau.39a.g.08,One athlete tried to win event.,8
LI,,,34.3.landau.39b.*.01,One interpreter each tried to be assigned to every visiting diplomat.,13
LI,,,34.3.landau.39b.*.02,One actor each attempted to be the star of every scene.,13
LI,,,34.3.landau.39b.*.03,One protester each managed to be heard during every speech.,12
LI,,,34.3.landau.39b.*.04,One child each refused to complete every assignment.,10
LI,,,34.3.landau.39b.*.05,One soldier each refused to obey every order.,10
LI,,,34.3.landau.39b.*.06,One mechanic each managed to repair every car.,10
LI,,,34.3.landau.39b.*.07,One dog each attempted to fetch every stick.,10
LI,,2nd 'each' → 'every',34.3.landau.39b.*.08,One athlete each tried to win each event.,10
LI,,,34.3.takano.10b.*.01,I bought any books only occasionally.,8
LI,,,34.3.takano.10b.*.02,Prof. Jones met with any students only rarely.,10
LI,,,34.3.takano.10b.*.03,The store sold any hardbacks only occasionally.,9
LI,,,34.3.takano.10b.*.04,Fritz wrote any stories only rarely.,8
LI,,,34.3.takano.10b.*.05,The postman delivers any letters only occasionally.,9
LI,,,34.3.takano.10b.*.06,The virtuoso practices any pieces only rarely.,9
LI,,,34.3.takano.10b.*.07,Thin people eat any snacks only occasionally.,9
LI,,,34.3.takano.10b.*.08,Most people clean any windows only rarely.,9
LI,,,34.3.takano.10b.g.01,I only occasionally bought any books.,8
LI,,,34.3.takano.10b.g.02,Prof. Jones only rarely met with any students.,10
LI,,,34.3.takano.10b.g.03,The store only occasionally sold any hardbacks.,9
LI,,,34.3.takano.10b.g.04,Fritz only rarely wrote any stories.,8
LI,,,34.3.takano.10b.g.05,The postman only occasionally delivers any letters.,9
LI,,,34.3.takano.10b.g.06,The virtuoso only rarely practices any pieces.,9
LI,,,34.3.takano.10b.g.07,Thin people only occasionally eat any snacks.,9
LI,,,34.3.takano.10b.g.08,Most people only rarely clean any windows.,9
LI,,,34.3.takano.9e.*.01,Anything has nobody done.,6
LI,,,34.3.takano.9e.*.02,Anywhere has nobody gone.,6
LI,,,34.3.takano.9e.*.03,Anyone has nobody met.,6
LI,,,34.3.takano.9e.*.04,Anything has nobody bought.,6
LI,,,34.3.takano.9e.*.05,Anything has nobody seen.,6
LI,,,34.3.takano.9e.*.06,Anyone has nobody praised.,6
LI,,,34.3.takano.9e.*.07,Anything has nobody desired.,6
LI,,,34.3.takano.9e.*.08,Anyone has nobody found.,6
LI,,,34.3.takano.9e.g.01,Nobody has done anything.,6
LI,,,34.3.takano.9e.g.02,Nobody has gone anywhere.,6
LI,,,34.3.takano.9e.g.03,Nobody has met anyone.,6
LI,,,34.3.takano.9e.g.04,Nobody has bought anything.,6
LI,,,34.3.takano.9e.g.05,Nobody has seen anything.,6
LI,,,34.3.takano.9e.g.06,Nobody has praised anyone.,6
LI,,,34.3.takano.9e.g.07,Nobody has desired anything.,6
LI,,,34.3.takano.9e.g.08,Nobody has found anyone.,6
LI,"[was meant to test possibility of null C following upstairs PP, but could equally be testing null C preceding downstairs PP]",,34.4.boskovic.3a.*.01,It seemed at that time David had left.,10
LI,"[was meant to test possibility of null C following upstairs PP, but could equally be testing null C preceding downstairs PP]",,34.4.boskovic.3a.*.02,It seemed at that time Mark had quit.,10
LI,"[was meant to test possibility of null C following upstairs PP, but could equally be testing null C preceding downstairs PP]",,34.4.boskovic.3a.*.03,It seemed at that time Michelle had won.,10
LI,"[was meant to test possibility of null C following upstairs PP, but could equally be testing null C preceding downstairs PP]",,34.4.boskovic.3a.*.04,It seemed at that time Stacey had been hired.,11
LI,"[was meant to test possibility of null C following upstairs PP, but could equally be testing null C preceding downstairs PP]",,34.4.boskovic.3a.*.05,It seemed at that time Tom had moved.,10
LI,"[was meant to test possibility of null C following upstairs PP, but could equally be testing null C preceding downstairs PP]",,34.4.boskovic.3a.*.06,It seemed at that time Clara had been promoted.,11
